Annandale High,4700 Medford Dr,Annandale,VA,22003,703-642-4100,High School,2,"4700 Medford Dr, Annandale, VA 22003",38.8219346,-77.2081586
Centreville High,6001 Union Mill Rd,Clifton,VA,20124,703-802-5400,High School,7,"6001 Union Mill Rd, Clifton, VA 20124",38.8250425,-77.4110741
Chantilly High,4201 Stringfellow Rd,Chantilly,VA,20151,703-222-8100,High School,7,"4201 Stringfellow Rd, Chantilly, VA 20151",38.880314,-77.406255
Edison High,5801 Franconia Rd,Alexandria,VA,22310,703-924-8000,High School,4,"5801 Franconia Rd, Alexandria, VA 22310",38.7822313,-77.1338854
Fairfax HS,3501 Rebel Run,Fairfax,VA,22030,703-219-2200,High School,5,"3501 Rebel Run, Fairfax, VA 22030",38.8598925,-77.2861677
Falls Church High,7521 Jaguar Trail,Falls Church,VA,22042,703-207-4000,High School,1,"7521 Jaguar Trail, Falls Church, VA 22042",38.861485,-77.207432
Hayfield Secondary,7630 Telegraph Rd,Alexandria,VA,22315,703-924-7400,High School,4,"7630 Telegraph Rd, Alexandria, VA 22315",38.7501659,-77.1442648
Herndon High,700 Bennett St,Herndon,VA,20170,703-810-2200,High School,3,"700 Bennett St, Herndon, VA 20170",38.9861706,-77.3745261
Jefferson Tech High,6560 Braddock Rd,Alexandria,VA,22312,703-750-8300,High School,2,"6560 Braddock Rd, Alexandria, VA 22312",38.8186623,-77.1687627
Lake Braddock Secondary,9200 Burke Lake Rd,Burke,VA,22015,703-426-1800,High School,2,"9200 Burke Lake Rd, Burke, VA 22015",38.8035315,-77.2658405
Langley High,6520 Georgetown Pike,McLean,VA,22101,703-287-2700,High School,3,"6520 Georgetown Pike, McLean, VA 22101",38.9497633,-77.1666791
Lee High,6540 Franconia Rd,Springfield,VA,22150,703-924-8300,High School,4,"6540 Franconia Rd, Springfield, VA 22150",38.779857,-77.169821
Madison High,2500 James Madison Rd,Vienna,VA,22181,703-319-2300,High School,5,"2500 James Madison Rd, Vienna, VA 22181",38.8959548,-77.2790009
Marshall High,7731 Leesburg Pike,Falls Church,VA,22043,703-714-5400,High School,1,"7731 Leesburg Pike, Falls Church, VA 22043",38.9051435,-77.2128744
McLean High,1633 Davidson Rd,McLean,VA,22101,703-714-5700,High School,1,"1633 Davidson Rd, McLean, VA 22101",38.923381,-77.185141
Mount Vernon High,8515 Old Mt Vernon Rd,Alexandria,VA,22309,703-619-3100,High School,6,"8515 Old Mt Vernon Rd, Alexandria, VA 22309",38.726943,-77.092313
Oakton High,2900 Sutton Rd,Vienna,VA,22181,703-319-2700,High School,5,"2900 Sutton Rd, Vienna, VA 22181",38.8773783,-77.2825465
Robinson Secondary,5035 Sideburn Rd,Fairfax,VA,22032,703-426-2100,High School,2,"5035 Sideburn Rd, Fairfax, VA 22032",38.8183747,-77.3087343
South County High School,8501 Silverbrook Road,Lorton,VA,22079,703-446-1600,High School,6,"8501 Silverbrook Road, Lorton, VA 22079",38.7173023,-77.2387274
South Lakes High,11400 S Lakes Dr,Reston,VA,22191,703-715-4500,High School,3,"11400 S Lakes Dr, Reston, VA 22191",38.932865,-77.34024
Stuart High,3301 Peace Valley Lane,Falls Church,VA,22044,703-824-3900,High School,1,"3301 Peace Valley Lane, Falls Church, VA 22044",38.8567532,-77.1495216
West Potomac High,6500 Quander Rd,Alexandria,VA,22307,703-718-2500,High School,6,"6500 Quander Rd, Alexandria, VA 22307",38.7743791,-77.0718216
West Springfield High,6100 Rolling Rd,Springfield,VA,22152,703-913-3800,High School,4,"6100 Rolling Rd, Springfield, VA 22152",38.7851137,-77.2409546
Westfield High,4700 Stonecroft Blvd.,Chantilly,VA,20151,703-488-6300,High School,7,"4700 Stonecroft Blvd., Chantilly, VA 20151",38.8859718,-77.4658162
Woodson High,9525 Main St,Fairfax,VA,22031,703-503-4600,High School,2,"9525 Main St, Fairfax, VA 22031",38.8385739,-77.2764543